sweep,cost,dobj
dense,2.576066933748396e8,122.83701104194752
dense,2.5771830806001067e8,122.55394961937546
dense,2.5782992274518174e8,122.27181514144968
dense,2.5794153743035236e8,121.99157408921789
dense,2.5805315211552346e8,121.71476429578078
dense,2.581647668006945e8,121.43938204438605
dense,2.5827638148586562e8,121.16721080042902
dense,2.5838799617103672e8,120.89873652795302
dense,2.5849961085620758e8,120.63119618116096
dense,2.5861122554137877e8,120.36471616246232
dense,2.587228402265499e8,120.10310127827096
dense,2.58834454911721e8,119.8450770543462
dense,2.5894606959689194e8,119.59051646521513
dense,2.5905768428206313e8,119.33811556567468
dense,2.5916929896723416e8,119.09189796184613
dense,2.5928091365240514e8,118.84719841259405
dense,2.593925283375761e8,118.60451650760496
dense,2.5950414302274716e8,118.37481617759644
dense,2.596157577079183e8,118.18026066245415
dense,2.5972737239308947e8,118.00569233403384
dense,2.598389870782605e8,117.85755213845184
dense,2.5995060176343158e8,117.72711047648436
dense,2.6006221644860262e8,117.59895348338958
dense,2.6017383113377377e8,117.48110238819604
dense,2.6028544581894475e8,117.3675682650623
dense,2.6039706050411576e8,117.25683643255252
dense,2.6050867518928677e8,117.14737459051354
dense,2.6062028987445787e8,117.03868363329929
dense,2.607319045596289e8,116.9302254159538
dense,2.608435192448001e8,116.82201247083816
dense,2.6095513392997104e8,116.71517953234407
dense,2.610667486151421e8,116.61153738068307
dense,2.611783633003134e8,116.50801172711432
dense,2.6128997798548436e8,116.4129426669451
dense,2.6140159267065564e8,116.32809607091355
dense,2.6151320735582665e8,116.24609952203525
dense,2.6162482204099762e8,116.16474738961142
dense,2.6173643672616875e8,116.08470421238032
dense,2.618480514113398e8,116.00475936426051
dense,2.6195966609651086e8,115.92482690402558
dense,2.6207128078168193e8,115.84576015479192
dense,2.6218289546685293e8,115.76684149480626
dense,2.62294510152024e8,115.68795826863374
dense,2.624061248371951e8,115.6093241842693
dense,2.6251773952236623e8,115.53077503469363
dense,2.6262935420753717e8,115.45223777176976
dense,2.6274096889270836e8,115.37378819746436
